customer_id,signup_date,acquisition_channel,acquisition_cost,age,gender,country,state,city,customer_segment,email_verified,phone_verified
CU_000001,2024-11-23,organic,0.0,37,M,DZ,DE,Lake Joshuabury,casual,True,True
CU_000002,2024-04-24,paid_search,28.02,44,O,CU,WA,Lake Joyside,casual,False,True
CU_000003,2024-08-04,organic,0.0,44,M,BT,OR,Johnsonland,casual,True,True
CU_000004,2024-09-15,organic,0.0,38,O,GM,IN,New Jamesside,casual,True,True
CU_000005,2024-11-28,paid_search,69.29,28,F,NL,IN,Lawrencetown,regular,True,False
CU_000006,2024-01-04,social_media,35.63,28,F,PS,AS,Lake Roberto,casual,True,True
CU_000007,2024-06-21,paid_search,32.92,23,F,IT,FL,Port Matthew,casual,True,True
CU_000008,2024-01-23,social_media,46.08,34,F,BW,MS,West Melanieview,casual,True,True
CU_000009,2024-11-17,affiliate,101.34,32,O,BD,VA,Herrerafurt,casual,True,True
CU_000010,2024-12-04,paid_search,37.51,20,M,BR,OH,Mariastad,casual,False,False
CU_000011,2024-07-13,paid_search,51.0,27,F,TR,ID,North Donnaport,casual,True,True
CU_000012,2024-12-09,social_media,35.7,29,O,BR,PR,Port Craig,regular,True,True
CU_000013,2024-09-30,social_media,34.88,38,F,IT,NH,Franciscostad,casual,True,False
CU_000014,2024-12-18,social_media,43.26,22,M,GE,TN,Jacquelineland,casual,True,True
CU_000015,2024-06-10,paid_search,38.71,37,O,UZ,SC,New Jessica,casual,False,True
CU_000016,2024-12-01,paid_search,76.13,33,O,DK,NH,Nelsonside,casual,True,True
CU_000017,2024-05-06,paid_search,77.92,20,O,GN,TX,Meganton,casual,True,False
CU_000018,2024-07-23,social_media,41.56,26,M,GT,GU,Port Leslieview,regular,True,True
CU_000019,2024-01-25,social_media,38.37,34,M,BI,IL,Jasonfort,casual,True,True
CU_000020,2024-02-02,organic,0.0,28,F,MY,FM,Thomasberg,casual,True,False
CU_000021,2024-09-27,paid_search,46.71,40,M,HU,WA,Juliechester,regular,True,True
CU_000022,2024-10-01,paid_search,89.98,39,F,TV,MO,Jeffreyberg,regular,True,True
