session_id,customer_id,start_time,device_type,browser,country,end_time,duration_minutes,num_bets,total_wagered,net_result
SES_00000001,CU_000003,2024-08-21 20:06:00,mobile,Safari,BT,2024-08-21 20:22:00,16,2,56.95,30.360000000000003
SES_00000002,CU_000003,2024-10-01 12:17:00,mobile,Chrome,BT,2024-10-01 12:17:00,0,1,53.33,53.93000000000001
SES_00000003,CU_000003,2024-10-03 09:18:00,desktop,Safari,BT,2024-10-03 09:18:00,0,1,29.54,34.39
SES_00000004,CU_000003,2024-10-15 23:06:00,mobile,Chrome,BT,2024-10-15 23:19:00,13,2,73.69,71.38
SES_00000005,CU_000003,2024-10-18 21:13:00,mobile,Edge,BT,2024-10-18 21:13:00,0,1,54.27,-54.27
SES_00000006,CU_000003,2024-11-06 16:32:00,mobile,Chrome,BT,2024-11-06 16:32:00,0,1,36.09,39.8
SES_00000007,CU_000003,2024-11-11 14:10:00,mobile,Chrome,BT,2024-11-11 14:26:00,16,2,47.9,31.78000000000001
SES_00000008,CU_000003,2024-12-18 13:42:00,mobile,Chrome,BT,2024-12-18 13:42:00,0,1,26.01,26.109999999999996
SES_00000009,CU_000003,2024-12-23 15:58:00,mobile,Chrome,BT,2024-12-23 16:28:00,30,3,102.31,94.1
SES_00000010,CU_000010,2024-12-09 15:10:00,mobile,Safari,BR,2024-12-09 15:44:00,34,3,117.1,111.94
SES_00000011,CU_000010,2024-12-28 17:41:00,mobile,Firefox,BR,2024-12-28 17:58:00,17,2,59.97,-59.97
SES_00000012,CU_000016,2024-12-18 22:43:00,desktop,Chrome,DK,2024-12-18 23:07:00,24,3,137.93,-34.589999999999996
SES_00000013,CU_000016,2024-12-29 18:22:00,mobile,Safari,DK,2024-12-29 18:37:00,15,2,51.26,-51.26
SES_00000014,CU_000020,2024-03-09 11:17:00,tablet,Edge,MY,2024-03-09 11:36:00,19,2,22.59,-6.07
SES_00000015,CU_000020,2024-03-12 11:28:00,mobile,Safari,MY,2024-03-12 11:28:00,0,1,40.98,46.63
SES_00000016,CU_000020,2024-03-31 14:02:00,desktop,Firefox,MY,2024-03-31 14:02:00,0,1,51.59,43.53999999999999
SES_00000017,CU_000020,2024-05-10 10:27:00,tablet,Chrome,MY,2024-05-10 10:46:00,19,3,79.78,38.35
SES_00000018,CU_000020,2024-05-28 14:18:00,mobile,Safari,MY,2024-05-28 14:52:00,34,3,137.5,-69.13
SES_00000019,CU_000020,2024-06-05 14:26:00,mobile,Safari,MY,2024-06-05 14:26:00,0,1,43.83,-43.83
SES_00000020,CU_000020,2024-06-18 23:28:00,mobile,Safari,MY,2024-06-18 23:37:00,9,2,58.55,28.650000000000002
SES_00000021,CU_000020,2024-07-21 12:45:00,mobile,Chrome,MY,2024-07-21 12:45:00,0,1,48.47,-48.47
SES_00000022,CU_000020,2024-07-29 16:19:00,desktop,Edge,MY,2024-07-29 16:19:00,0,1,32.07,33.589999999999996
SES_00000023,CU_000020,2024-10-23 13:50:00,mobile,Chrome,MY,2024-10-23 14:03:00,13,2,100.81,88.65
SES_00000024,CU_000020,2024-10-30 20:25:00,tablet,Firefox,MY,2024-10-30 20:25:00,0,1,35.65,30.449999999999996
SES_00000025,CU_000024,2024-04-03 17:59:00,desktop,Chrome,DE,2024-04-03 18:35:00,36,3,176.51,-54.88
SES_00000026,CU_000024,2024-04-13 21:15:00,mobile,Safari,DE,2024-04-13 21:37:00,22,3,112.07999999999998,-64.64999999999999
SES_00000027,CU_000024,2024-04-18 13:23:00,mobile,Chrome,DE,2024-04-18 13:38:00,15,2,57.84,-57.84
SES_00000028,CU_000024,2024-04-19 11:29:00,mobile,Chrome,DE,2024-04-19 11:29:00,0,1,51.28,47.36
SES_00000029,CU_000024,2024-04-20 16:06:00,mobile,Chrome,DE,2024-04-20 16:11:00,5,2,61.88,67.61999999999999
SES_00000030,CU_000024,2024-05-14 14:56:00,mobile,Chrome,DE,2024-05-14 15:02:00,6,2,86.53,-86.53
SES_00000031,CU_000024,2024-05-16 22:51:00,tablet,Firefox,DE,2024-05-16 23:13:00,22,3,131.09,-26.299999999999994
SES_00000032,CU_000024,2024-05-27 12:48:00,desktop,Edge,DE,2024-05-27 12:48:00,0,1,25.2,-25.2
SES_00000033,CU_000024,2024-06-03 20:44:00,desktop,Firefox,DE,2024-06-03 20:55:00,11,2,70.72,76.07
SES_00000034,CU_000024,2024-06-11 23:54:00,mobile,Chrome,DE,2024-06-11 23:54:00,0,1,14.51,12.4
SES_00000035,CU_000024,2024-06-17 15:53:00,tablet,Chrome,DE,2024-06-17 16:31:00,38,3,81.41,4.4099999999999895
SES_00000036,CU_000024,2024-06-23 15:08:00,mobile,Chrome,DE,2024-06-23 15:20:00,12,2,22.64,4.610000000000001
