transaction_id,customer_id,transaction_type,amount,transaction_date,payment_method,is_first_deposit
TXN_00000001,CU_000003,deposit,59.85,2024-08-11,bank_transfer,True
TXN_00000002,CU_000003,deposit,30.78,2024-08-11,debit_card,False
TXN_00000003,CU_000003,deposit,120.02,2024-08-21,paypal,False
TXN_00000004,CU_000003,deposit,125.69,2024-09-29,debit_card,False
TXN_00000005,CU_000010,deposit,96.21,2024-12-09,bank_transfer,True
TXN_00000006,CU_000016,deposit,86.53,2024-12-08,debit_card,True
TXN_00000007,CU_000020,deposit,49.91,2024-02-03,paypal,True
TXN_00000008,CU_000020,deposit,122.66,2024-07-24,debit_card,False
TXN_00000009,CU_000020,deposit,128.04,2024-10-01,credit_card,False
TXN_00000010,CU_000024,deposit,34.3,2024-04-03,credit_card,True
TXN_00000011,CU_000024,deposit,28.79,2024-04-30,paypal,False
TXN_00000012,CU_000024,deposit,129.47,2024-05-07,credit_card,False
TXN_00000013,CU_000024,deposit,92.07,2024-05-21,bank_transfer,False
TXN_00000014,CU_000024,deposit,95.97,2024-07-02,paypal,False
TXN_00000015,CU_000024,deposit,137.46,2024-09-01,bank_transfer,False
TXN_00000016,CU_000029,deposit,86.95,2024-08-31,credit_card,True
TXN_00000017,CU_000040,deposit,22.86,2024-08-14,bank_transfer,True
TXN_00000018,CU_000040,deposit,112.41,2024-11-09,bank_transfer,False
TXN_00000019,CU_000040,deposit,87.28,2024-12-01,bank_transfer,False
TXN_00000020,CU_000066,deposit,444.72,2024-04-07,paypal,True
TXN_00000021,CU_000066,withdrawal,369.22,2024-04-07,credit_card,False
TXN_00000022,CU_000066,deposit,220.49,2024-04-09,bank_transfer,False
TXN_00000023,CU_000066,deposit,123.7,2024-04-30,credit_card,False
TXN_00000024,CU_000066,deposit,294.19,2024-05-09,paypal,False
TXN_00000025,CU_000066,withdrawal,565.92,2024-05-17,credit_card,False
TXN_00000026,CU_000066,deposit,346.23,2024-05-29,credit_card,False
TXN_00000027,CU_000066,withdrawal,536.89,2024-06-29,debit_card,False
TXN_00000028,CU_000066,deposit,244.24,2024-07-22,paypal,False
